JobID|JobName|Partition|State|Elapsed|Start|End|AllocCPUS|ReqMem
17386498_[0]|shell2150.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-14T11:25:10|0|100G
17386499_[0]|shell2160.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-14T11:25:06|0|100G
17386501_[0]|shell2190.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-14T11:25:02|0|100G
17386502_[0]|shell2200.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-14T11:25:00|0|100G
18467313|sys/dashboard/sys/vs_code_server|ahub|TIMEOUT|12:00:22|2025-10-14T11:31:41|2025-10-14T23:32:03|1|3840M
18467313.batch|batch||CANCELLED|12:00:23|2025-10-14T11:31:41|2025-10-14T23:32:04|1|
18467313.extern|extern||COMPLETED|12:00:23|2025-10-14T11:31:41|2025-10-14T23:32:04|1|
18468123_[0]|shell2100.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:13:17|0|100G
18468124_[0]|shell2110.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:13:18|0|100G
18468128_[0]|shell2120.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:13:24|0|100G
18468129_[0]|shell2130.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:13:33|0|100G
18468130_[0]|shell2140.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:13:36|0|100G
18468131_[0]|shell2150.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:13:38|0|100G
18468132_[0]|shell2160.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:13:40|0|100G
18468133_[0]|shell2170.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:12:52|0|100G
18468134_[0]|shell2180.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:12:47|0|100G
18468135_[0]|shell2190.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:12:54|0|100G
18468136_[0]|shell2200.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:13:11|0|100G
18468137_[0]|shell2300.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:13:12|0|100G
18468379_[0]|shell1000.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:12:32|0|100G
18468380_[0]|shell1100.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:12:37|0|100G
18468383_[0]|shell1500.sh|amilan|CANCELLED by 1098135|00:00:00|None|2025-10-21T10:12:41|0|100G
18747424|sys/dashboard/sys/vs_code_server|ahub|TIMEOUT|12:00:24|2025-10-20T16:36:22|2025-10-21T04:36:46|1|3840M
18747424.batch|batch||CANCELLED|12:00:27|2025-10-20T16:36:22|2025-10-21T04:36:49|1|
18747424.extern|extern||COMPLETED|12:00:27|2025-10-20T16:36:22|2025-10-21T04:36:49|1|
18797613|sys/dashboard/sys/vs_code_server|ahub|TIMEOUT|12:00:17|2025-10-21T10:17:00|2025-10-21T22:17:17|1|3840M
