target_environment,seed,capture_coverage_fraction,ground_delivery_coverage_fraction,total_constellation_reward,acquisition_reward_component,ground_delivery_reward_component,reward_adjustment_component,qualified_exposure_count,unique_acquisition_service_count,unique_ground_service_count,successful_duplicate_count,cross_sensor_capture_overlap_count,stale_cross_sensor_ground_delivery_count,stale_cross_sensor_ground_delivery_target_count,causally_avoidable_stale_ground_delivery_count,cross_sensor_onboard_overlap_target_count,cross_sensor_onboard_overlap_product_count,cross_sensor_onboard_redundant_acquisition_count,cross_sensor_onboard_redundant_sensor_time_s,cross_sensor_onboard_overlap_sensor_time_s,duplicate_attempt_count,duplicate_sensor_time_s,interrupted_nonduplicate_sensor_time_s,wasted_sensor_time_s,wasted_time_fraction,policy_decisions,wall_time_s,peak_process_rss_bytes,simulated_seconds_per_wall_second,minimum_battery_fraction,maximum_storage_fraction,maximum_wheel_fraction
leo,0,0.0,0.010000000000000009,29.414192234347922,25.93689485923906,3.477297375108762,0.0,-311,26.0,34.0,-331.0,-10,-330,-9,-136,-78,-396,-235,-308992.0,-591516.0,-344.0,-46171.0,0.0,-46171.0,-0.3420074074074074,-257,34.01968110958114,-4186112,-30.997590105782933,0.03268774786850259,-0.06000000000000005,0.0060752845942312755
leo,1,0.010000000000000009,0.010000000000000009,22.468176499495257,20.82805738574507,1.640119113750142,0.0,-353,25.0,13.0,-339.0,-16,-369,-19,-84,-79,-375,-219,-396359.0,-751499.0,-386.0,-52968.0,0.0,-52968.0,-0.39235555555555557,-296,36.39302716962993,67145728,-29.534143543005683,0.08255554679492949,-0.30000000000000004,-0.016181500308199537
leo,2,0.019999999999999907,0.019999999999999907,28.395602373281235,25.42588118480822,2.969721188473123,0.0,-359,24.0,27.0,-371.0,-15,-392,-16,-103,-78,-386,-232,-357232.0,-664680.0,-390.0,-49597.0,0.0,-49597.0,-0.3673851851851852,-305,34.50299155304674,58875904,-32.52412344970901,0.0029037072695403676,0.0,-0.0011908375145053551
leo,3,0.020000000000000018,0.019999999999999907,36.51774221752015,33.45084743630292,3.0668947812172114,0.0,-333,36.0,29.0,-337.0,-13,-353,-15,-107,-71,-398,-244,-405900.0,-791942.0,-371.0,-50723.0,0.0,-50723.0,-0.3757259259259259,-270,-95.51795157929882,512000,98.01122450566854,0.05224510575431873,-0.020000000000000018,-0.0009541170100902108
leo,4,0.010000000000000009,-0.010000000000000009,30.0234597410805,27.177204548642806,2.8462551924376314,0.0,-319,34.0,29.0,-347.0,-18,-367,-20,-102,-76,-355,-219,-262410.0,-509496.0,-357.0,-49440.0,0.0,-49440.0,-0.3662222222222222,-263,-93.04557519394439,-4243456,65.78425788817339,0.04102598853433714,-0.08000000000000007,-0.00389219030727625
leo,5,0.0,-0.010000000000000009,18.838493011016737,16.770434462286147,2.0680585487305265,0.0,-347,19.0,22.0,-359.0,-10,-371,-11,-104,-72,-379,-228,-295940.0,-560725.0,-370.0,-51963.000000000015,0.0,-51963.000000000015,-0.3849111111111112,-280,-77.86752166575752,-6701056,67.95176186426644,0.013039515820006065,-0.16000000000000003,-0.008175346649308593
leo,6,0.0,0.0,32.12620922008989,28.533723997716038,3.5924852223738313,0.0,-334,30.0,35.0,-352.0,-18,-368,-19,-136,-69,-378,-235,-386425.0,-733478.0,-369.0,-49970.0,0.0,-49970.0,-0.37014814814814817,-265,-32.21231829491444,3153920,22.243340742012663,0.019869606792028427,0.0,-0.02863089206961053
leo,7,0.010000000000000009,0.010000000000000009,31.569964376292035,30.47355277909861,1.096411597193331,0.0,-301,31.0,7.0,-332.0,-12,-368,-16,-138,-75,-376,-224,-281494.0,-547023.0,-336.0,-46569.00000000001,0.0,-46569.00000000001,-0.3449555555555556,-239,-82.4468610821059,3223552,48.60640235561215,0.0252285252740283,-0.22000000000000008,-0.014618379272885312
leo,8,0.0,-0.010000000000000009,29.507765825438923,27.680693116184102,1.8270727092548,0.0,-343,29.0,16.0,-346.0,-13,-360,-14,-122,-84,-403,-234,-272443.0,-519924.0,-382.0,-48895.000000000015,0.0,-48895.000000000015,-0.3621851851851853,-283,16.52421669010073,208896,-13.802136796154429,0.08176364288250537,-0.08000000000000007,-0.0028653217177119217
leo,9,0.010000000000000009,0.010000000000000009,33.01705982775104,30.276762770083963,2.740297057667199,0.0,-371,36.0,20.0,-391.0,-18,-411,-19,-110,-86,-394,-230,-272680.0,-529030.0,-410.0,-57508.000000000015,0.0,-57508.000000000015,-0.4259851851851853,-309,-26.191596185788512,-737280,36.196263456149694,0.04237924886108424,-0.08000000000000007,0.002497834626743717
leo,10,0.0,0.0,13.296539832968676,10.708683591194642,2.5878562417741726,0.0,-371,16.0,26.0,-387.0,-10,-394,-10,-131,-82,-395,-230,-360727.0,-678855.0,-393.0,-55741.0,0.0,-55741.0,-0.4128962962962963,-306,22.530955033143982,29556736,-20.79522078499059,0.07014028412570139,-0.18000000000000005,-0.016655607577368226
