mode,seed,initial_conditions_sha256,controller,first_capture_coverage,ground_delivery_coverage,cooldown_acquisitions,cooldown_ground_services,acquisition_reward_component,ground_delivery_reward_component,communication_time_adjustment,other_operational_penalties_or_adjustments,total_reward,duplicate_attempts,successful_duplicates,duplicate_sensor_seconds,interrupted_nonduplicate_sensor_seconds,wasted_sensor_seconds,wasted_time_fraction,stale_cross_sensor_ground_deliveries,causally_avoidable_stale_ground_deliveries,cross_sensor_onboard_overlap_targets,cross_sensor_onboard_overlap_products,redundant_acquisitions,excess_holder_sensor_seconds,overlap_sensor_seconds,radio_occupancy_s,policy_decisions,payload_records_attempted,payload_bytes_attempted,accepted_transport_packets,accepted_catalog_merges,downlink_action_selections,other_action_selections,useful_revisits,wall_time_s,peak_rss_bytes,simulated_seconds_per_wall_second,minimum_battery_fraction,maximum_storage_fraction,maximum_absolute_wheel_fraction,sensors_reaching_zero_battery,zero_battery_sensors_at_end
conflict,10000,087cd0659f7c1c608d3a285016cc42ce51b53200d524be7ae3402ade39121bcd,policy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-17955.0,-17955.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,17953,0,0,0,0,17953,0,0,342.4610695639858,2708697088,131.40179716571302,0.0,0.0,0.1120907073284254,2,2
conflict,10000,087cd0659f7c1c608d3a285016cc42ce51b53200d524be7ae3402ade39121bcd,independent,1.0,1.0,360.0,350.0,323.22910245694777,35.1839031047154,-0.0,5.684341886080802e-14,358.4130055616632,748.0,742.0,90958.0,0.0,90958.0,0.5053222222222222,991,228,92,717,478,828651.0,1485324.0,0.0,1567,0,0,0,0,277,5871,55,277.2749045479868,2801057792,162.29380756025844,0.770904361010339,0.8,0.14007992617907233,0,0
conflict,10000,087cd0659f7c1c608d3a285016cc42ce51b53200d524be7ae3402ade39121bcd,centralized_full_state,1.0,1.0,390.0,390.0,348.6829273343788,38.74254748159765,-0.0,5.684341886080802e-14,387.4254748159765,0.0,0.0,0.0,0.0,0.0,0.0,258,0,6,12,6,2127.0,4254.0,0.0,954,0,0,0,3709,87,3689,290,208.9661134390044,2768654336,215.3459202519702,0.8583852371796741,0.56,0.1259500336399102,0,0
conflict,10001,507ea08238e46f02a4ca10931f31827d4b8ed1d639921fdf6486d6210e4b47de,policy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-17950.0,-17950.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,17948,0,0,0,0,17948,0,0,350.7002194779925,2798268416,128.31471867049655,0.0,0.0,0.12071441106463517,2,2
conflict,10001,507ea08238e46f02a4ca10931f31827d4b8ed1d639921fdf6486d6210e4b47de,independent,1.0,1.0,361.0,315.0,324.55721991591633,31.808652618717062,-0.0,0.0,356.3658725346334,716.0,627.0,89096.0,0.0,89096.0,0.4949777777777778,839,162,90,643,404,779319.0,1383578.0,0.0,1488,0,0,0,0,232,5636,41,265.6629432790214,2790522880,169.38756849026265,0.6972599022998915,0.8,0.12548440340744604,0,0
conflict,10001,507ea08238e46f02a4ca10931f31827d4b8ed1d639921fdf6486d6210e4b47de,centralized_full_state,1.0,1.0,394.0,354.0,354.7032730733827,35.64559672742063,-0.0,-5.684341886080802e-14,390.3488698008033,0.0,0.0,0.0,0.0,0.0,0.0,213,0,0,0,0,0.0,0.0,0.0,939,0,0,0,3594,68,3624,294,208.71405731601408,2817994752,215.6059854265852,0.8621541687748273,0.58,0.12165860054585252,0,0
conflict,10002,887522f37e50570508b3a99b12c26275a879bc3ff66bc27728f1d45b4ba5c455,policy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-17951.0,-17951.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,17949,0,0,0,0,17949,0,0,348.98958055800176,2881912832,128.94367771109154,0.0,0.0,0.15212299082037106,2,2
conflict,10002,887522f37e50570508b3a99b12c26275a879bc3ff66bc27728f1d45b4ba5c455,independent,1.0,1.0,358.0,337.0,320.493143125417,33.18392590281628,-0.0,0.0,353.6770690282333,673.0,632.0,84400.0,0.0,84400.0,0.4688888888888889,862,191,86,596,390,777965.0,1390979.0,0.0,1485,0,0,0,0,254,5598,36,266.3198532809911,2894503936,168.96975364627062,0.8233034452654159,0.8,0.12789367377657065,0,0
conflict,10002,887522f37e50570508b3a99b12c26275a879bc3ff66bc27728f1d45b4ba5c455,centralized_full_state,1.0,1.0,399.0,373.0,359.96557418979563,37.56815385338246,-0.0,5.684341886080802e-14,397.53372804317814,0.0,0.0,0.0,0.0,0.0,0.0,241,0,0,0,0,0.0,0.0,0.0,936,0,0,0,3527,66,3630,299,209.13760089801508,2869108736,215.16934213061012,0.8514011379127833,0.52,0.1199099555590527,0,0
conflict,10003,85c574937bba142e0432c0a0547714441d9cacefe3e22c274ed742a9564b4611,policy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-17949.0,-17949.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,17947,0,0,0,0,17947,0,0,787.7920043570048,2869223424,57.121676471861335,0.0,0.0,0.1358717889720854,2,2
conflict,10003,85c574937bba142e0432c0a0547714441d9cacefe3e22c274ed742a9564b4611,independent,1.0,1.0,366.0,344.0,329.46924286421176,34.633253668962986,-0.0,1.1368683772161603e-13,364.1024965331749,699.0,671.0,85415.0,0.0,85415.0,0.47452777777777777,910,180,91,602,392,881898.0,1631295.0,0.0,1507,0,0,0,0,276,5652,53,405.9484958370158,2819624960,110.85150077281489,0.8626605144344965,0.8,0.12796085721330158,0,0
conflict,10003,85c574937bba142e0432c0a0547714441d9cacefe3e22c274ed742a9564b4611,centralized_full_state,1.0,1.0,400.0,399.0,359.9999999999999,39.987057448829944,-0.0,1.1368683772161603e-13,399.98705744882994,0.0,0.0,0.0,0.0,0.0,0.0,248,0,0,0,0,0.0,0.0,0.0,933,0,0,0,3530,60,3620,300,297.79829598701326,2818826240,151.108990905584,0.8823963671771534,0.58,0.1324384013438602,0,0
conflict,10004,bc3d603ef08fb5686d8dfdfc5bf51dd734a88da6d6eba0b865fe3c162570ff0b,policy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-17960.0,-17960.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,17958,0,0,0,0,17958,0,0,348.913842429989,2881368064,128.97166729356528,0.0,0.0,0.13493735753857414,2,2
conflict,10004,bc3d603ef08fb5686d8dfdfc5bf51dd734a88da6d6eba0b865fe3c162570ff0b,independent,1.0,1.0,361.0,341.0,332.2519364399299,34.81180215137706,-0.0,0.0,367.06373859130696,686.0,654.0,84058.0,0.0,84058.0,0.4669888888888889,883,190,89,646,423,872428.0,1578931.0,0.0,1498,0,0,0,0,276,5656,50,275.9521257019951,2851598336,163.0717642979717,0.8055076772457892,0.8,0.13465486301213925,0,0
conflict,10004,bc3d603ef08fb5686d8dfdfc5bf51dd734a88da6d6eba0b865fe3c162570ff0b,centralized_full_state,1.0,1.0,398.0,395.0,358.89274062004813,39.64129603057565,-0.0,0.0,398.53403665062376,0.0,0.0,0.0,0.0,0.0,0.0,253,0,1,2,1,105.0,210.0,0.0,942,0,0,0,3604,69,3667,298,206.8678798059991,2856366080,217.53014553153946,0.8553062008944361,0.62,0.1285911680876911,0,0
continuous,10000,087cd0659f7c1c608d3a285016cc42ce51b53200d524be7ae3402ade39121bcd,policy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-17955.0,-17955.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,17953,0,0,0,0,17953,0,0,345.5059647659946,2978983936,130.2437717116628,0.0,0.0,0.1120907073284254,2,2
continuous,10000,087cd0659f7c1c608d3a285016cc42ce51b53200d524be7ae3402ade39121bcd,independent,1.0,1.0,344.0,336.0,307.1843000530431,33.1740734030113,-0.0,5.684341886080802e-14,340.35837345605444,774.0,618.0,96264.0,6548.999999999999,102813.0,0.5711833333333334,851,154,87,557,352,611801.0,1137340.0,0.0,5236,0,0,0,0,915,4321,58,268.9916432989994,2989092864,167.29144239614894,0.778630192840932,0.8,0.13676650601839163,0,0
continuous,10000,087cd0659f7c1c608d3a285016cc42ce51b53200d524be7ae3402ade39121bcd,centralized_full_state,1.0,1.0,364.0,355.0,329.21724819298805,35.57339804861528,-0.0,0.0,364.7906462416033,4.0,0.0,0.0,60396.0,60396.0,0.33553333333333335,222,0,4,8,4,5647.0,11294.0,0.0,2568,0,0,0,3731,436,2132,264,197.41614497700357,3056189440,227.94488265000777,0.7961234151978316,1.0,0.10421564963232394,0,0
continuous,10001,507ea08238e46f02a4ca10931f31827d4b8ed1d639921fdf6486d6210e4b47de,policy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-17950.0,-17950.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,17948,0,0,0,0,17948,0,0,353.14687307400163,3004567552,127.42573538395818,0.0,0.0,0.12071441106463517,2,2
continuous,10001,507ea08238e46f02a4ca10931f31827d4b8ed1d639921fdf6486d6210e4b47de,independent,1.0,1.0,354.0,300.0,321.4207476378742,30.075515126468446,-0.0,0.0,351.49626276434265,801.0,555.0,101425.0,4074.0,105499.0,0.5861055555555555,750,124,87,523,322,591213.0,1091143.0,0.0,5008,0,0,0,0,772,4236,39,265.85862234802335,2994585600,169.26289470157775,0.6961891123783397,0.8,0.14504144609588804,0,0
continuous,10001,507ea08238e46f02a4ca10931f31827d4b8ed1d639921fdf6486d6210e4b47de,centralized_full_state,1.0,1.0,359.0,305.0,323.81785260552914,30.4139153255811,-0.0,-1.1368683772161603e-13,354.23176793111014,9.0,0.0,0.0,51798.0,51798.0,0.28776666666666667,145,0,7,16,9,50932.0,99203.0,0.0,2644,0,0,0,3500,865,1779,259,205.59766903199488,3001118720,218.87407679217,0.36240889087324407,1.0,0.12008780430836585,0,0
continuous,10002,887522f37e50570508b3a99b12c26275a879bc3ff66bc27728f1d45b4ba5c455,policy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-17951.0,-17951.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,17949,0,0,0,0,17949,0,0,335.2189603250008,3001004032,134.24061680870227,0.0,0.0,0.15212299082037106,2,2
continuous,10002,887522f37e50570508b3a99b12c26275a879bc3ff66bc27728f1d45b4ba5c455,independent,1.0,1.0,337.0,317.0,301.2817718822224,31.29150662008999,-0.0,0.0,332.5732785023124,773.0,548.0,96356.0,3707.0,100063.0,0.5559055555555555,752,133,85,479,303,600361.0,1095967.0,0.0,5004,0,0,0,0,880,4124,37,263.50457979299244,3004571648,170.7750204393097,0.8180771924128546,0.8,0.15877411002870878,0,0
continuous,10002,887522f37e50570508b3a99b12c26275a879bc3ff66bc27728f1d45b4ba5c455,centralized_full_state,1.0,0.99,285.0,246.0,248.6103665795133,24.15158196000914,-0.0,-1.1368683772161603e-13,272.76194853952234,11.0,0.0,0.0,40959.0,40959.0,0.22755,105,0,12,27,15,64750.999999999985,129501.99999999997,0.0,2492,0,0,0,2938,1079,1413,185,197.45566450900515,3069255680,227.8992608892602,0.2900759484984755,1.0,0.12022954484578971,0,0
continuous,10003,85c574937bba142e0432c0a0547714441d9cacefe3e22c274ed742a9564b4611,policy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-17949.0,-17949.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,17947,0,0,0,0,17947,0,0,831.5827990400139,3015995392,54.11367340924845,0.0,0.0,0.1358717889720854,2,2
continuous,10003,85c574937bba142e0432c0a0547714441d9cacefe3e22c274ed742a9564b4611,independent,1.0,1.0,333.0,323.0,303.9967284566729,32.658828557169855,-0.0,0.0,336.6555570138427,755.0,579.0,91469.0,6248.0,97717.0,0.5428722222222222,795,170,88,517,325,744510.0,1311918.0,0.0,5052,0,0,0,0,970,4082,77,400.4884286620072,3011440640,112.36279697353707,0.8149375991134903,0.8,0.13623329814733257,0,0
continuous,10003,85c574937bba142e0432c0a0547714441d9cacefe3e22c274ed742a9564b4611,centralized_full_state,1.0,1.0,337.0,284.0,306.30203094816983,28.92955568937439,-0.0,-5.684341886080802e-14,335.2315866375442,14.0,1.0,0.0,45420.0,45420.0,0.25233333333333335,127,1,26,67,41,52923.0,105846.0,0.0,2536,0,0,0,3356,964,1572,237,303.25591912900563,3022233600,148.3895190875299,0.7605201972900014,1.0,0.12526519123543095,0,0
