mode,seed,initial_conditions_sha256,comparison,acquisition_reward_component,causally_avoidable_stale_ground_deliveries,communication_time_adjustment,cooldown_acquisitions,cooldown_ground_services,cross_sensor_onboard_overlap_products,cross_sensor_onboard_overlap_targets,duplicate_attempts,duplicate_sensor_seconds,excess_holder_sensor_seconds,first_capture_coverage,ground_delivery_coverage,ground_delivery_reward_component,interrupted_nonduplicate_sensor_seconds,other_operational_penalties_or_adjustments,overlap_sensor_seconds,radio_occupancy_s,redundant_acquisitions,stale_cross_sensor_ground_deliveries,successful_duplicates,total_reward,useful_revisits,wasted_sensor_seconds,wasted_time_fraction
conflict,10000,087cd0659f7c1c608d3a285016cc42ce51b53200d524be7ae3402ade39121bcd,policy_minus_independent,-323.22910245694777,-228,0.0,-360.0,-350.0,-717,-92,-748.0,-90958.0,-828651.0,-1.0,-1.0,-35.1839031047154,0.0,-17955.0,-1485324.0,0.0,-478,-991,-742.0,-18313.413005561662,-55,-90958.0,-0.5053222222222222
conflict,10000,087cd0659f7c1c608d3a285016cc42ce51b53200d524be7ae3402ade39121bcd,policy_minus_centralized_full_state,-348.6829273343788,0,0.0,-390.0,-390.0,-12,-6,0.0,0.0,-2127.0,-1.0,-1.0,-38.74254748159765,0.0,-17955.0,-4254.0,0.0,-6,-258,0.0,-18342.425474815976,-290,0.0,0.0
conflict,10001,507ea08238e46f02a4ca10931f31827d4b8ed1d639921fdf6486d6210e4b47de,policy_minus_independent,-324.55721991591633,-162,0.0,-361.0,-315.0,-643,-90,-716.0,-89096.0,-779319.0,-1.0,-1.0,-31.808652618717062,0.0,-17950.0,-1383578.0,0.0,-404,-839,-627.0,-18306.365872534632,-41,-89096.0,-0.4949777777777778
conflict,10001,507ea08238e46f02a4ca10931f31827d4b8ed1d639921fdf6486d6210e4b47de,policy_minus_centralized_full_state,-354.7032730733827,0,0.0,-394.0,-354.0,0,0,0.0,0.0,0.0,-1.0,-1.0,-35.64559672742063,0.0,-17950.0,0.0,0.0,0,-213,0.0,-18340.348869800804,-294,0.0,0.0
conflict,10002,887522f37e50570508b3a99b12c26275a879bc3ff66bc27728f1d45b4ba5c455,policy_minus_independent,-320.493143125417,-191,0.0,-358.0,-337.0,-596,-86,-673.0,-84400.0,-777965.0,-1.0,-1.0,-33.18392590281628,0.0,-17951.0,-1390979.0,0.0,-390,-862,-632.0,-18304.677069028232,-36,-84400.0,-0.4688888888888889
conflict,10002,887522f37e50570508b3a99b12c26275a879bc3ff66bc27728f1d45b4ba5c455,policy_minus_centralized_full_state,-359.96557418979563,0,0.0,-399.0,-373.0,0,0,0.0,0.0,0.0,-1.0,-1.0,-37.56815385338246,0.0,-17951.0,0.0,0.0,0,-241,0.0,-18348.533728043178,-299,0.0,0.0
conflict,10003,85c574937bba142e0432c0a0547714441d9cacefe3e22c274ed742a9564b4611,policy_minus_independent,-329.46924286421176,-180,0.0,-366.0,-344.0,-602,-91,-699.0,-85415.0,-881898.0,-1.0,-1.0,-34.633253668962986,0.0,-17949.0,-1631295.0,0.0,-392,-910,-671.0,-18313.102496533174,-53,-85415.0,-0.47452777777777777
conflict,10003,85c574937bba142e0432c0a0547714441d9cacefe3e22c274ed742a9564b4611,policy_minus_centralized_full_state,-359.9999999999999,0,0.0,-400.0,-399.0,0,0,0.0,0.0,0.0,-1.0,-1.0,-39.987057448829944,0.0,-17949.0,0.0,0.0,0,-248,0.0,-18348.98705744883,-300,0.0,0.0
conflict,10004,bc3d603ef08fb5686d8dfdfc5bf51dd734a88da6d6eba0b865fe3c162570ff0b,policy_minus_independent,-332.2519364399299,-190,0.0,-361.0,-341.0,-646,-89,-686.0,-84058.0,-872428.0,-1.0,-1.0,-34.81180215137706,0.0,-17960.0,-1578931.0,0.0,-423,-883,-654.0,-18327.063738591307,-50,-84058.0,-0.4669888888888889
conflict,10004,bc3d603ef08fb5686d8dfdfc5bf51dd734a88da6d6eba0b865fe3c162570ff0b,policy_minus_centralized_full_state,-358.89274062004813,0,0.0,-398.0,-395.0,-2,-1,0.0,0.0,-105.0,-1.0,-1.0,-39.64129603057565,0.0,-17960.0,-210.0,0.0,-1,-253,0.0,-18358.534036650624,-298,0.0,0.0
