stage,mode,iteration,complete_episodes,actual_env_steps,actual_agent_steps,actual_policy_decisions,total_loss,policy_loss,value_loss,gradient_l2,finite_gradients,parameter_change_l2,changed_parameter_elements,wall_time_s,peak_rss_bytes,simulated_seconds,mean_constellation_reward,mean_acquisition_reward,mean_ground_reward,mean_communication_adjustment,mean_other_penalties_or_adjustments,radio_occupancy_s,payload_records_attempted,payload_bytes_attempted,minimum_battery_fraction,maximum_storage_fraction,maximum_absolute_wheel_fraction,episodes_with_inactive_sensor,matched_restored_actions,restored_logit_max_error
one_worker_gate,conflict,1,1,981,3924,999,8.035161972045898,0.22146816551685333,7.812784194946289,0.1136356070637703,1.0,0.06059244982771893,75533,202.5895918640017,5629235200,45000.0,237.1265787631263,221.88077627383439,17.24580248929191,0.0,-1.999999999999993,4822.0,1920,445845,0.8780231939210361,1.0,0.13998849459982576,0,True,0.0
one_worker_gate,conflict,2,1,957,3828,978,4.707088947296143,0.3313453495502472,4.375737190246582,0.4831143021583557,1.0,0.05476716876275509,77835,196.28957277099835,5663494144,45000.0,243.31918377900172,223.5444035344049,20.774780244596794,0.0,-0.999999999999968,4804.0,1259,289442,0.8375423005339234,1.0,0.16822659544204727,0,True,0.0
four_worker_pilot,conflict,1,4,3855,15420,3945,6.622771739959717,-0.7833391427993774,7.405713081359863,0.6776725649833679,1.0,0.21200501955223935,78290,246.73063058700063,12610068480,180000.0,227.15935991294845,211.82595853274307,18.083401380205416,0.0,-2.7500000000000346,18049.0,6875,1585628,0.8456586716595597,1.0,0.15992117355775154,0,True,0.0
four_worker_pilot,conflict,2,4,3696,14784,3803,2.5664854049682617,0.9943467378616333,1.5721136331558228,0.7069313526153564,1.0,0.17676518807423738,79920,276.8016756630095,12646920192,180000.0,232.55207104499152,213.72439067787502,20.07768036711651,0.0,-1.2500000000000169,16092.000000000002,5581,1280423,0.6815098116278898,1.0,0.1623011249341056,0,True,0.0
four_worker_pilot,conflict,3,4,4116,16464,4217,3.1561481952667236,0.9379092454910278,2.2182250022888184,1.1637696027755737,1.0,0.1977113481498443,79936,289.65183749899734,12755140608,180000.0,273.5275664510925,252.6165464414047,22.661020009687846,0.0,-1.7499999999999778,18827.0,8384,1942817,0.8459516796037767,1.0,0.15845713789225088,0,True,0.0
four_worker_pilot,conflict,4,4,3797,15188,3882,6.417229175567627,-0.48455214500427246,6.90177059173584,0.43885907530784607,1.0,0.25245602369322984,79422,306.42813467100495,12741062656,180000.0,237.24690454903106,222.79251040187984,16.454394147151213,0.0,-1.9999999999999787,15577.999999999998,6115,1413366,0.704694999256821,1.0,0.17089922705954033,0,True,0.0
four_worker_pilot,conflict,5,4,3894,15576,3971,8.997359275817871,-0.0714552253484726,9.068811416625977,0.13912563025951385,1.0,0.2896790118519106,79896,332.93205421901075,12788211712,180000.0,247.808523554325,230.67335951523316,19.635164039091862,0.0,-2.5000000000000373,15450.0,5826,1350290,0.8501880093669489,1.0,0.15620864185488328,0,True,0.0
four_worker_pilot,conflict,6,4,3962,15848,4038,7.576946258544922,-0.636175274848938,8.213119506835938,0.8415487408638,1.0,0.2835662345041632,79134,291.52113815798657,12830253056,180000.0,254.34409964685017,235.4105494082555,20.433550238594663,0.0,-1.5000000000000058,19419.999999999996,6229,1440436,0.8462206954006076,1.0,0.1525699947099741,0,True,0.0
four_worker_pilot,conflict,7,4,4053,16212,4134,8.786530494689941,0.42527109384536743,8.361257553100586,1.7904224395751953,1.0,0.3482045712092983,78541,297.16654825099977,12929302528,180000.0,247.39209706288906,230.61266405798207,21.02943300490702,0.0,-4.2500000000000195,16767.999999999996,7364,1700955,0.7722835414025393,1.0,0.17131926145594095,0,True,0.0
four_worker_pilot,conflict,8,4,4008,16032,4090,4.378808498382568,1.2601900100708008,3.1186180114746094,14.256778717041016,1.0,0.24961034713384952,78220,318.4661828719836,12908601344,180000.0,255.30658500339234,237.22298506945543,21.833599933936938,0.0,-3.7500000000000364,17759.0,7005,1612052,0.7085737918368643,1.0,0.16845836173759296,0,True,0.0
one_worker_gate,continuous,1,1,551,2204,2204,4.012320518493652,1.9427577257156372,2.065643310546875,2.0048930644989014,1.0,0.120881617088054,74161,175.11176257301122,5867769856,45000.0,239.8362604227332,225.14762903157353,19.688631391159632,0.0,-4.999999999999957,6930.0,1803,418687,0.8686644921819427,1.0,0.13201522323514944,0,True,0.0
one_worker_gate,continuous,2,1,465,1860,1860,8.675284385681152,-0.10276895761489868,8.778048515319824,0.2286251038312912,1.0,0.11639073225521071,78242,174.79978880498675,5868392448,45000.0,217.06311593306177,201.13843239686125,18.9246835362005,0.0,-2.9999999999999822,5146.0,1270,292672,0.8507019090393134,1.0,0.15083864792867735,0,True,0.0
four_worker_pilot,continuous,1,4,1834,7336,7336,6.642863750457764,-0.8616178035736084,7.502976894378662,0.3067198693752289,1.0,0.30209120513565535,79598,215.57194594599423,13074079744,180000.0,184.8434332450932,174.41589351773732,13.927539727355917,0.0,-3.5000000000000466,19751.0,4438,1025405,0.8380189615650893,1.0,0.13629142617048867,0,True,0.0
four_worker_pilot,continuous,2,4,1963,7852,7852,6.253192901611328,-0.029277615249156952,6.282435417175293,0.5464783310890198,1.0,0.46805084935692076,81023,245.76616564998403,13041270784,180000.0,206.33944236517874,195.73062409287422,17.60881827230451,0.0,-6.999999999999987,23671.000000000004,4349,1002169,0.8486400075618781,1.0,0.1676141369865956,0,True,0.0
four_worker_pilot,continuous,3,4,2022,8088,8088,3.570345878601074,0.8648613095283508,2.7054033279418945,1.0424998998641968,1.0,0.5122251299279332,81005,239.9741557489906,13123715072,180000.0,228.60819358902143,213.32843967854978,18.529753910471676,0.0,-3.250000000000016,21253.999999999996,4395,1013084,0.8535795049519055,1.0,0.16381005351458677,0,True,0.0
four_worker_pilot,continuous,4,4,1960,7840,7840,2.5407395362854004,1.4274121522903442,1.1133148670196533,2.0789670944213867,1.0,0.5736954177122283,80501,237.91244987599202,13092630528,180000.0,222.38529671980845,207.7460805929345,18.639216126873926,0.0,-3.999999999999978,23945.0,4792,1111325,0.7909385642630442,1.0,0.14637844389140223,0,True,0.0
four_worker_pilot,continuous,5,4,2028,8112,8112,7.576884746551514,0.014202136546373367,7.562677383422852,20.61783218383789,1.0,0.5539368426893343,79030,270.04617123599746,13201068032,180000.0,230.0762900181474,214.13960313628976,20.186686881857625,0.0,-4.249999999999992,24715.000000000007,5334,1238751,0.8319347006503027,1.0,0.14766906298287624,0,True,0.0
four_worker_pilot,continuous,6,4,1871,7484,7484,4.247476100921631,0.9522470831871033,3.2952282428741455,21.7681941986084,1.0,0.16469320539417165,77654,232.47452781099128,13230419968,180000.0,205.2252865522841,193.30500085637078,16.420285695913368,0.0,-4.500000000000024,19606.999999999996,4658,1080167,0.8505152700437338,1.0,0.15308092414539556,0,True,0.0
four_worker_pilot,continuous,7,4,2086,8344,8344,6.801305770874023,1.2925772666931152,5.508726596832275,15.673795700073242,1.0,0.13473680059200366,77592,236.69816889899084,13268000768,180000.0,216.81266729555225,204.56995494755776,17.24271234799448,0.0,-5.0000000000000036,23543.0,4617,1067839,0.8401128981810917,1.0,0.15317162969750428,0,True,0.0
four_worker_pilot,continuous,8,4,2002,8008,8008,9.9169340133667,-0.08306602388620377,10.0,0.5071241855621338,1.0,0.21499863197052854,77898,256.45836675100145,13346328576,180000.0,221.59417297391735,206.8757024021292,19.71847057178814,0.0,-5.000000000000008,22719.000000000004,5260,1215946,0.8257508734762784,1.0,0.15068184473063387,0,True,0.0
