trial_index,architecture,candidate_count_for_tuning,learning_rate,train_batch_size,minibatch_size,ppo_epochs,clip_parameter,entropy_coefficient,value_function_coefficient,gradient_clip,gamma,gae_lambda,continuous_time_discount,reward_time,hidden_widths,embedding_dim,attention_heads,attention_blocks,feed_forward_width,status,wall_hours
0,fixed_input_monolithic_mlp,10,8.515256747724164e-06,4200,128,30,0.05,0.01,0.5,0.5,0.9997,0.9,True,step_end,2048-2048,128,2,1,128,pending,8.0
1,fixed_input_monolithic_mlp,10,2.607917725189261e-05,4200,128,10,0.15,0.01,2.0,0.25,0.9997,0.85,False,step_end,2048-2048,128,2,1,128,pending,8.0
2,fixed_input_monolithic_mlp,10,6.989475349277431e-06,2100,256,20,0.15,0.0,2.0,0.5,0.999,0.9,False,step_start,2048-2048-1024,128,2,1,128,pending,8.0
3,fixed_input_monolithic_mlp,10,3.831460494671734e-06,8400,64,20,0.05,0.025,2.0,1.0,0.995,0.85,False,step_start,2048-2048,128,2,1,128,pending,8.0
4,fixed_input_monolithic_mlp,10,9.841673497377429e-05,8400,256,5,0.05,0.025,0.5,0.25,0.9997,0.9,True,step_end,1024-1024,128,2,1,128,pending,8.0
5,fixed_input_monolithic_mlp,10,1.703421405250977e-05,4200,128,10,0.2,0.005,1.0,0.5,0.995,0.9,False,step_end,1024-1024,128,2,1,128,pending,8.0
6,fixed_input_monolithic_mlp,10,8.24465978196008e-05,8400,256,10,0.15,0.025,0.5,1.0,0.999,0.95,True,step_end,2048-1024,128,2,1,128,pending,8.0
7,fixed_input_monolithic_mlp,10,0.00014059833866809048,2100,64,10,0.1,0.025,2.0,1.0,0.999,0.95,True,step_start,2048-2048,128,2,1,128,pending,8.0
8,fixed_input_monolithic_mlp,10,7.375019274780886e-05,2100,64,5,0.2,0.005,1.0,0.5,0.9997,0.98,True,step_end,2048-2048,128,2,1,128,pending,8.0
9,fixed_input_monolithic_mlp,10,4.440917368376237e-06,2100,64,30,0.05,0.005,1.0,0.5,0.9997,0.85,True,step_start,2048-1024,128,2,1,128,pending,8.0
10,fixed_input_monolithic_mlp,10,0.00010528276833393582,4200,64,20,0.05,0.005,2.0,0.5,0.999,0.95,False,step_end,2048-2048,128,2,1,128,pending,8.0
11,fixed_input_monolithic_mlp,10,0.00021371095433427394,4200,128,30,0.1,0.025,1.0,0.25,0.999,0.98,True,step_start,2048-1024,128,2,1,128,pending,8.0
