label,alpha,training_distribution,source_trial,selected_checkpoint,checkpoint_path,module_state_sha256
0d100i,0.0,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_0d100i_reducedFailurePenalty.out_0,checkpoint_000145,policies/breckenridge2026_alpha_sweep/0d100i/checkpoint_000145,0d8033272f14cdd408192d7ab6ee819b18691c9385fca87be24044fc950464d2
10d90i,0.1,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_10d90i_reducedFailurePenalty_lowBatPenalty.out_0,checkpoint_000145,policies/breckenridge2026_alpha_sweep/10d90i/checkpoint_000145,0d9ada5a18f9aa096c1f0894b4dd4afcacd32ace485e246c0f27c51e8ea69149
20d80i,0.2,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_20d80i.out_0,checkpoint_000145,policies/breckenridge2026_alpha_sweep/20d80i/checkpoint_000145,9878a628450d1f3fd3c7daebd473b8ae1cb791be1e39ac8c1b3ce446001c5186
30d70i,0.3,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_30d70i.out_0,checkpoint_000150,policies/breckenridge2026_alpha_sweep/30d70i/checkpoint_000150,8871e1ae34ede34c3f3c8a5ee5e0dd54dcc2959f6e82a01332f5ae7293f79a24
40d60i,0.4,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_40d60i.out_0,checkpoint_000150,policies/breckenridge2026_alpha_sweep/40d60i/checkpoint_000150,580ee4a0ceccceb8d59124f09b09803e67a6c5f4e28405b64499143ff7b1f75c
50d50i,0.5,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_50d50i_reducedFailurePenalty.out_0,checkpoint_000135,policies/breckenridge2026_alpha_sweep/50d50i/checkpoint_000135,756ae5ecac4da7c9c2f9f003742d6d16186981188473b52835d058ae3d8109d6
60d40i,0.6,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_60d40i_reducedFailurePenalty_lowBatPenalty.out_0,checkpoint_000145,policies/breckenridge2026_alpha_sweep/60d40i/checkpoint_000145,4d36ae9ce397da313e2222a762729678bbfd404f81c3f7fe59c4d486123b263d
70d30i,0.7,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_70d30i.out_0,checkpoint_000140,policies/breckenridge2026_alpha_sweep/70d30i/checkpoint_000140,80abb14c3184f238f3e7dec5eb39e202e72e414420be92a93c5d4fc9c41fe60d
80d20i,0.8,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_80d20i.out_0,checkpoint_000140,policies/breckenridge2026_alpha_sweep/80d20i/checkpoint_000140,4a4ed2c67cedba51890a667edb4a208f51da7319103bfeed788461b3b93e18f2
90d10i,0.9,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_90d10i_reducedFailurePenalty.out_0,checkpoint_000135,policies/breckenridge2026_alpha_sweep/90d10i/checkpoint_000135,c597fb2cb7ab704eea566d50c38eb8ea7de55f7a102890c6226507cf03d476db
100d00i,1.0,LEO-only,oct14_restrictedResources_obsv7_1e-5lr_batch5000_gamma9997_100d00i_reducedFailurePenalty.out_0,checkpoint_000130,policies/breckenridge2026_alpha_sweep/100d00i/checkpoint_000130,05dc2115d4264b74b807a75f38dd2f6fe6f2724f34d160d1df99754b1c5a67dd
