env,alpha,policy_name,seed,total_reward,illuminated_images,target_imaging_count,downlink_action_count,acq_success_rate,avg_acquisition_time_sec,frac_all_LEO,frac_all_MEO,frac_all_GEO,resolved_run_dir,useful_downlinks_est
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,0,93.0,93,129,26.0,0.7131782945736435,142.97826086956493,0.6201550387596899,0.23255813953488372,0.14728682170542637,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed0_RL_latest10d90i_mixed_20260115_153140,92.99999999999997
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,1,91.8,92,140,11.0,0.6259541984732825,133.84146341463384,0.6335877862595419,0.22900763358778625,0.13740458015267176,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed1_RL_latest10d90i_mixed_20260115_153802,90.0
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,2,93.0,93,142,7.0,0.6830985915492958,153.82474226804098,0.6338028169014085,0.23943661971830985,0.1267605633802817,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed2_RL_latest10d90i_mixed_20260115_154534,92.99999999999997
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,3,94.9,95,136,13.0,0.7185185185185186,155.85567010309248,0.6,0.17777777777777778,0.2222222222222222,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed3_RL_latest10d90i_mixed_20260115_155201,94.00000000000006
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,4,97.0,97,124,22.0,0.7258064516129032,113.06666666666642,0.5887096774193549,0.22580645161290322,0.18548387096774194,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed4_RL_latest10d90i_mixed_20260115_155827,97.00000000000003
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,5,91.0,91,134,18.0,0.6567164179104478,121.55681818181793,0.6417910447761194,0.15671641791044777,0.20149253731343283,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed5_RL_latest10d90i_mixed_20260115_160451,90.99999999999994
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,6,91.9,92,135,18.0,0.7073170731707317,158.58620689655146,0.5772357723577236,0.16260162601626016,0.2601626016260163,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed6_RL_latest10d90i_mixed_20260115_161206,91.00000000000009
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,7,93.1,93,138,11.0,0.6521739130434783,165.95555555555543,0.6014492753623188,0.1956521739130435,0.2028985507246377,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed7_RL_latest10d90i_mixed_20260115_161846,93.99999999999991
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,8,92.9,93,137,17.0,0.6715328467153284,145.65217391304301,0.6204379562043796,0.16058394160583941,0.21897810218978103,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed8_RL_latest10d90i_mixed_20260115_162436,92.00000000000003
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,9,96.1,96,140,12.0,0.6666666666666666,131.3139534883717,0.627906976744186,0.24031007751937986,0.13178294573643412,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed9_RL_latest10d90i_mixed_20260115_163132,96.99999999999989
MIXED,0.1,oct14_obsv7_1e_5lr_batch5000_gamma9997_10d90i,10,96.9,97,129,31.0,0.689922480620155,154.57303370786497,0.5658914728682171,0.23255813953488372,0.20155038759689922,/Users/dahu1128/Repositories/bsk_rl/examples/data/GNC26_data/RL10d90i_mixed/RL_seed10_RL_latest10d90i_mixed_20260115_153142,96.00000000000009
